0.167,0.097,0.087,0.649
0.176,0.105,0.087,0.632
0.186,0.112,0.084,0.618
0.191,0.121,0.084,0.604
0.2,0.125,0.086,0.589
0.201,0.139,0.089,0.571
0.209,0.16,0.09,0.541
0.206,0.173,0.096,0.525
0.209,0.182,0.099,0.51
0.207,0.198,0.1,0.495
0.202,0.21,0.111,0.477
0.196,0.22,0.122,0.462
0.19,0.227,0.132,0.451
0.178,0.239,0.141,0.442
0.17,0.245,0.149,0.436
0.16,0.242,0.165,0.433
0.149,0.234,0.182,0.435
0.14,0.225,0.193,0.442
0.128,0.214,0.204,0.454
0.118,0.204,0.214,0.464
0.109,0.194,0.212,0.485
0.105,0.178,0.213,0.504
0.102,0.167,0.211,0.52
0.096,0.155,0.208,0.541
0.093,0.142,0.204,0.561
0.09,0.134,0.198,0.578
0.089,0.13,0.189,0.592
0.089,0.115,0.184,0.612
0.088,0.103,0.173,0.636
0.089,0.101,0.166,0.644
0.092,0.099,0.164,0.645
0.092,0.094,0.159,0.655
0.096,0.089,0.144,0.671
0.102,0.088,0.139,0.671
0.105,0.09,0.129,0.676
0.108,0.088,0.127,0.677
0.114,0.086,0.122,0.678
0.123,0.085,0.117,0.675
0.128,0.086,0.115,0.671
0.133,0.087,0.111,0.669
0.14,0.087,0.105,0.668
0.149,0.089,0.106,0.656
0.154,0.092,0.102,0.652
0.161,0.097,0.102,0.64
0.168,0.104,0.1,0.628
0.174,0.11,0.099,0.617
0.179,0.115,0.099,0.607
0.181,0.124,0.099,0.596
0.182,0.133,0.101,0.584
0.187,0.141,0.101,0.571
0.189,0.156,0.103,0.552
0.19,0.168,0.101,0.541
0.189,0.181,0.102,0.528
0.183,0.191,0.114,0.512
0.181,0.194,0.119,0.506
0.175,0.203,0.127,0.495
0.171,0.206,0.136,0.487
0.17,0.208,0.145,0.477
0.167,0.209,0.154,0.47
0.154,0.212,0.164,0.47
0.148,0.212,0.173,0.467
0.137,0.21,0.179,0.474
0.134,0.2,0.187,0.479
0.127,0.196,0.193,0.484
0.121,0.185,0.193,0.501
0.116,0.18,0.194,0.51
0.109,0.167,0.197,0.527
0.105,0.145,0.198,0.552
0.096,0.137,0.193,0.574
0.094,0.13,0.185,0.591
0.092,0.125,0.183,0.6
0.091,0.118,0.177,0.614
0.09,0.116,0.168,0.626
0.09,0.113,0.162,0.635
0.092,0.111,0.16,0.637
0.093,0.105,0.156,0.646
0.098,0.096,0.147,0.659
0.099,0.094,0.141,0.666
0.104,0.091,0.131,0.674
0.109,0.089,0.126,0.676
0.113,0.087,0.122,0.678
0.118,0.084,0.117,0.681
0.122,0.083,0.115,0.68
0.132,0.084,0.111,0.673
0.138,0.087,0.106,0.669
0.149,0.084,0.105,0.662
0.163,0.087,0.101,0.649
0.169,0.089,0.1,0.642
0.172,0.099,0.097,0.632
0.179,0.105,0.096,0.62
0.185,0.106,0.096,0.613
0.188,0.116,0.095,0.601
0.195,0.124,0.098,0.583
0.202,0.132,0.098,0.568
0.202,0.145,0.097,0.556
0.2,0.157,0.098,0.545
0.198,0.167,0.104,0.531
0.197,0.181,0.112,0.51
0.195,0.188,0.12,0.497
0.192,0.196,0.125,0.487
0.19,0.204,0.128,0.478
0.184,0.218,0.137,0.461
0.173,0.226,0.149,0.452
0.166,0.226,0.162,0.446
0.158,0.224,0.171,0.447
0.151,0.217,0.18,0.452
0.14,0.216,0.192,0.452
0.136,0.209,0.196,0.459
0.128,0.194,0.204,0.474
0.121,0.182,0.206,0.491
0.116,0.173,0.207,0.504
0.107,0.161,0.207,0.525
0.106,0.148,0.204,0.542
0.103,0.136,0.198,0.563
0.101,0.123,0.187,0.589
0.1,0.117,0.181,0.602
0.099,0.113,0.177,0.611
0.1,0.105,0.172,0.623
0.101,0.099,0.163,0.637
0.105,0.097,0.153,0.645
0.106,0.093,0.151,0.65
0.109,0.089,0.143,0.659
0.114,0.088,0.136,0.662
0.119,0.088,0.131,0.662
0.123,0.09,0.127,0.66
0.129,0.09,0.12,0.661
0.138,0.091,0.116,0.655
0.145,0.092,0.113,0.65
0.149,0.094,0.111,0.646
0.154,0.094,0.111,0.641
0.162,0.095,0.109,0.634
0.165,0.104,0.11,0.621
0.169,0.108,0.111,0.612
0.176,0.119,0.109,0.596
0.181,0.124,0.107,0.588
0.182,0.134,0.109,0.575
0.184,0.143,0.113,0.56
0.185,0.15,0.114,0.551
0.186,0.156,0.115,0.543
0.187,0.166,0.119,0.528
0.183,0.169,0.125,0.523
0.178,0.177,0.128,0.517
0.176,0.181,0.129,0.514
0.169,0.189,0.136,0.506
0.166,0.189,0.145,0.5
0.158,0.194,0.148,0.5
0.154,0.193,0.156,0.497
0.152,0.194,0.159,0.495
0.144,0.196,0.162,0.498
0.138,0.193,0.169,0.5
0.135,0.186,0.175,0.504
0.13,0.182,0.18,0.508
0.124,0.178,0.185,0.513
0.117,0.172,0.188,0.523
0.113,0.167,0.19,0.53
0.111,0.159,0.191,0.539
0.104,0.152,0.189,0.555
0.101,0.14,0.185,0.574
0.099,0.134,0.184,0.583
0.096,0.13,0.181,0.593
0.096,0.119,0.175,0.61
0.096,0.113,0.172,0.619
0.096,0.106,0.164,0.634
0.096,0.098,0.16,0.646
0.099,0.091,0.155,0.655
0.101,0.086,0.15,0.663
0.106,0.083,0.143,0.668
0.107,0.083,0.142,0.668
0.112,0.081,0.135,0.672
0.118,0.079,0.128,0.675
0.123,0.076,0.124,0.677
0.124,0.076,0.122,0.678
0.136,0.077,0.114,0.673
0.144,0.079,0.106,0.671
0.154,0.081,0.104,0.661
0.161,0.087,0.101,0.651
0.167,0.089,0.102,0.642
0.172,0.091,0.102,0.635
0.182,0.094,0.101,0.623
0.188,0.099,0.101,0.612
0.2,0.11,0.099,0.591
0.205,0.114,0.098,0.583
0.212,0.131,0.096,0.561
0.217,0.144,0.098,0.541
0.221,0.157,0.099,0.523
0.218,0.167,0.103,0.512
0.211,0.184,0.112,0.493
0.208,0.198,0.113,0.481
0.205,0.209,0.115,0.471
0.199,0.219,0.126,0.456
0.191,0.228,0.138,0.443
0.178,0.236,0.152,0.434
0.168,0.235,0.164,0.433
0.159,0.232,0.178,0.431
